label,strategy,cases,all_clear_case_rate,mean_virtual_time_s,delta_mean_virtual_vs_baseline_pct,p95_virtual_time_s,max_virtual_time_s,mean_movement_distance_m,mean_measure_count,mean_no_signal_count,mean_no_signal_rate,mean_first_clear_time_s,mean_measurements_before_first_clear,mean_wall_time_s,strategy_config
opportunistic,opportunistic,1000,1.0,10008.43873756823,-16.165644433238803,10954.68455757869,12002.85343348082,35156.83868784116,485.658,440.046,0.9032728059390067,1099.5893347231633,83.326,0.028982270946988138,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0}"
belief,belief,1000,1.0,10051.64656112509,-15.803719847565445,11160.848995271066,12706.513547943574,36772.27280562546,439.01,394.593,0.8948007165459547,711.4433027429376,56.419,0.07245771947394677,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0, ""particle_count"": 1600, ""belief_seed"": 20260911, ""assumed_directional_probability"": 0.5, ""belief_travel_weight"": 16.0}"
lattice,lattice,1000,1.0,10619.44059428118,-11.047668667912747,11465.137752461707,12688.453280123169,38200.807971405906,486.023,440.076,0.9030271904161923,8740.397227239322,485.95,0.028960865924906102,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0}"
deferred,deferred,1000,1.0,11938.349940076829,0.0,12820.697496511739,13683.982296462336,40812.49970038414,618.766,567.366,0.9143838786091363,10077.434767037052,618.748,0.033210127115056824,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0}"
