strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,wall_time_s
deferred,10000,14,14,14,1.0,True,871.0929348217403,12195.301087504364,8364.301087504364,41821.50543752182,3135.0,627,626,14,14,14,14,14,3330.714285714286,7691.0,0.03102386399768875
deferred,10001,12,12,12,1.0,True,1062.2431493693002,12746.917792431603,8127.917792431603,40639.58896215801,3800.0,760,759,12,12,12,14,14,3384.5,7193.0,0.026973451997037046
deferred,10002,13,13,13,1.0,True,983.4514260490973,12784.868538638266,8460.86853863827,42304.34269319136,3550.0,710,709,13,13,13,12,12,4179.615384615385,8795.0,0.032024365002143895
deferred,10003,16,16,16,1.0,True,653.6032251120054,10457.651601792086,6964.651601792088,34823.25800896043,2845.0,569,568,16,16,16,13,13,3167.375,6005.0,0.030706651999935275
deferred,10004,14,14,14,1.0,True,850.713491040235,11909.98887456329,8576.988874563296,42884.94437281647,2720.0,544,543,14,14,14,11,11,1514.857142857143,5747.0,0.023440820001269458
deferred,10005,16,16,16,1.0,True,672.533357283042,10760.533716528673,7141.533716528669,35707.668582643346,2950.0,590,589,16,16,16,21,21,2023.625,5501.0,0.03590044900192879
deferred,10006,11,11,11,1.0,True,1118.2096906996276,12300.306597695902,7992.3065976959,39961.5329884795,3545.0,709,708,11,11,11,11,11,3678.090909090909,7781.0,0.02306685100120376
deferred,10007,12,12,12,1.0,True,1056.0604123795858,12672.724948555031,8287.72494855503,41438.624742775144,3605.0,721,720,12,12,12,11,11,3033.5,7505.0,0.024235234002844663
deferred,10008,11,11,11,1.0,True,1097.2490373650683,12069.739411015751,7971.739411015752,39858.69705507875,3370.0,674,673,11,11,11,15,15,1341.3636363636363,4955.0,0.02354130000094301
deferred,10009,12,12,12,1.0,True,1010.9892231641493,12131.870677969791,7920.870677969792,39604.35338984895,3460.0,692,691,12,12,12,15,15,2267.0,9053.0,0.025963858999602962
deferred,10010,14,14,14,1.0,True,920.6499471696017,12889.099260374423,8386.099260374425,41930.496301872125,3695.0,739,738,14,14,14,18,18,2943.714285714286,7925.0,0.03327726000134135
deferred,10011,11,11,11,1.0,True,1147.966305948996,12627.629365438956,8037.629365438955,40188.14682719478,3780.0,756,755,11,11,11,10,10,4108.454545454545,7667.0,0.022538571000040974
deferred,10012,13,13,13,1.0,True,966.3333098054361,12562.33302747067,8112.333027470668,40561.66513735335,3655.0,731,730,13,13,13,14,14,4615.307692307692,8759.0,0.020924814001773484
deferred,10013,12,12,12,1.0,True,1035.2087371902123,12422.504846282549,8145.504846282547,40727.52423141274,3515.0,703,702,12,12,12,12,12,3349.0,8075.0,0.0318727099984244
deferred,10014,13,13,13,1.0,True,896.9047737148014,11659.76205829242,7995.762058292419,39978.81029146208,3000.0,600,599,13,13,13,10,10,2266.5384615384614,6707.0,0.02390604099855409
deferred,10015,11,11,11,1.0,True,1105.406098242094,12159.467080663035,7779.467080663031,38897.33540331516,3605.0,721,720,11,11,11,15,15,1811.5454545454545,8981.0,0.027671081999869784
deferred,10016,13,13,13,1.0,True,974.8640525744316,12673.232683467611,8517.232683467611,42586.16341733805,3410.0,682,681,13,13,13,12,12,2887.769230769231,6449.0,0.024200438001571456
deferred,10017,14,14,14,1.0,True,899.5542024583061,12593.758834416285,8528.758834416289,42643.79417208145,3330.0,666,665,14,14,14,14,14,3390.714285714286,6305.0,0.02530876899982104
deferred,10018,14,14,14,1.0,True,923.5772781238845,12930.081893734383,8715.081893734385,43575.409468671925,3455.0,691,690,14,14,14,14,14,3017.4285714285716,7871.0,0.033480807000159984
deferred,10019,13,13,13,1.0,True,966.3332662202637,12562.332460863428,8364.33246086343,41821.66230431716,3445.0,689,688,13,13,13,13,13,3899.0,8861.0,0.02209118400060106
deferred,10020,15,15,15,1.0,True,911.7728939896728,13676.59340984509,9511.59340984509,47557.96704922546,3410.0,682,680,15,15,15,17,17,2516.2,7721.0,0.047222494999004994
deferred,10021,14,14,14,1.0,True,889.7718790930629,12456.80630730288,8535.806307302886,42679.03153651442,3210.0,642,641,14,14,14,18,18,3278.8571428571427,7457.0,0.025899477001075866
deferred,10022,15,15,15,1.0,True,869.5364697227617,13043.047045841426,9311.047045841422,46555.23522920714,3050.0,610,607,15,15,15,16,16,2269.0,5705.0,0.04386829099894385
deferred,10023,15,15,15,1.0,True,804.9772147929048,12074.658221893571,8196.658221893571,40983.29110946786,3170.0,634,633,15,15,15,14,14,3361.8,7481.0,0.02571218199955183
deferred,10024,11,11,11,1.0,True,1113.5547057544272,12249.101763298699,7833.1017632987,39165.508816493486,3635.0,727,726,11,11,11,8,8,3176.818181818182,5381.0,0.02657486600219272
deferred,10025,13,13,13,1.0,True,931.4293266611063,12108.581246594382,8342.581246594385,41712.90623297192,3085.0,617,616,13,13,13,9,9,1715.923076923077,8135.0,0.02008850000129314
deferred,10026,14,14,14,1.0,True,935.7359568863778,13100.30339640929,9017.303396409285,45086.51698204642,3345.0,669,668,14,14,14,18,18,2992.5714285714284,7331.0,0.03758201500022551
deferred,10027,11,11,11,1.0,True,1128.522183828179,12413.74402210997,7973.744022109969,39868.72011054984,3655.0,731,730,11,11,11,12,12,2595.3636363636365,8885.0,0.024956609999208013
deferred,10028,12,12,12,1.0,True,1012.0262217693042,12144.31466123165,7981.314661231649,39906.57330615823,3420.0,684,683,12,12,12,12,12,2786.0,7871.0,0.022604585999943083
deferred,10029,11,11,11,1.0,True,1086.446599352018,11950.912592872199,7786.912592872202,38934.562964361,3425.0,685,684,11,11,11,12,12,2040.6363636363637,5129.0,0.022976500000368105
deferred,10030,14,14,14,1.0,True,900.4297997261249,12606.017196165749,8877.01719616575,44385.085980828735,3050.0,610,609,14,14,14,10,10,2836.1428571428573,7127.0,0.02645113200196647
deferred,10031,12,12,12,1.0,True,1035.4790000613302,12425.748000735963,8184.748000735959,40923.7400036798,3485.0,697,696,12,12,12,9,9,3170.0,8891.0,0.021288163003191585
deferred,10032,10,10,10,1.0,True,1258.7668285511645,12587.668285511645,8044.668285511642,40223.34142755822,3745.0,749,748,10,10,10,9,9,3300.8,8213.0,0.026481910001166398
deferred,10033,14,14,14,1.0,True,897.4285145703333,12563.999203984666,8330.999203984662,41654.9960199233,3470.0,694,693,14,14,14,16,16,2864.0,8291.0,0.030931548000808107
deferred,10034,14,14,14,1.0,True,996.7888228457758,13955.043519840861,9519.043519840865,47595.217599204334,3640.0,728,726,14,14,14,15,15,4169.857142857143,8219.0,0.04490767999959644
deferred,10035,16,16,16,1.0,True,704.2240983953784,11267.585574326054,7318.585574326057,36592.92787163027,3225.0,645,644,16,16,16,15,15,4235.375,8957.0,0.02711973799887346
deferred,10036,12,12,12,1.0,True,1041.6775843296089,12500.131011955305,8499.131011955305,42495.65505977652,3285.0,657,656,12,12,12,8,8,2805.0,5579.0,0.02281729800233734
deferred,10037,11,11,11,1.0,True,1109.9559351518194,12209.515286670014,8093.515286670014,40467.576433350085,3385.0,677,676,11,11,11,11,11,1352.8181818181818,7265.0,0.021519650999834994
deferred,10038,10,10,10,1.0,True,1245.8415073698209,12458.415073698208,7819.415073698207,39097.075368491045,3825.0,765,764,10,10,10,10,10,4187.0,7403.0,0.021929286001977744
deferred,10039,11,11,11,1.0,True,1149.2015368354275,12641.216905189704,8357.216905189705,41786.084525948514,3525.0,705,704,11,11,11,11,11,3198.6363636363635,6005.0,0.017254332000447903
deferred,10040,15,15,15,1.0,True,864.6826925559866,12970.240388339798,8919.240388339796,44596.201941699,3315.0,663,661,15,15,15,17,17,2796.6,8093.0,0.04116476999843144
