strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m
early_optical_clear_probe,100,11,11,11,1.0,True,785.9962045559485,8645.958250115433,5649.958250115431,28249.791250577164,2480.0,496,465,0.9375,31,0,461,11,11,11,10,10,2040.245863671855,6906.295447815365,973.7394012255237,8645.958250115433,77,1.8590760999941267,,,
early_optical_clear_probe,101,14,14,14,1.0,True,633.8650564134166,8874.110789787832,6066.110789787835,30330.553948939178,2310.0,462,423,0.9155844155844156,39,0,425,15,15,14,10,10,1560.4492876558434,4320.024928869106,502.1427111228779,8477.470886979168,40,1.9149402999901213,,,
early_optical_clear_probe,102,11,11,11,1.0,True,828.4973562207283,9113.470918428011,6105.470918428008,30527.35459214005,2490.0,498,471,0.9457831325301205,27,0,463,11,11,11,11,11,985.2318051717247,3493.2940810225236,1012.7313518008563,8585.756149057092,79,1.9719602999975905,,,
early_optical_clear_probe,103,15,15,15,1.0,True,591.1242302251453,8866.86345337718,6103.863453377181,30519.31726688592,2270.0,454,410,0.9030837004405287,44,0,418,15,15,15,18,18,1145.1293335100336,3932.5038675567803,1276.974082403052,8866.86345337718,99,1.789327200007392,,,
early_optical_clear_probe,104,10,10,10,1.0,True,990.0231125134776,9900.231125134776,6454.23112513477,32271.155625673873,2860.0,572,543,0.9493006993006993,29,0,536,10,10,10,8,8,2509.3726330049603,7440.22360969146,2345.9407165279695,9900.231125134776,174,1.7148540999914985,,,
