strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m,switch_time_s,optical_time_s,successful_clear_time_s,cost_accounting_residual_s,all_cleared_within_6000,post_last_clear_time_s,seen16_time_s,post_seen16_time_s,unseen_measures_after_seen16
adaptive_double_ring_clear_probe,0,16,8,16,1.0,True,415.6967279251154,6651.147646801846,4852.147646801849,24260.73823400925,1430.0,286,241,0.8426573426573427,45,0,256,27,27,16,6,6,1883.3677812479477,6209.161148924695,497.1774631633855,6651.147646801846,40,0.8991021359979641,,,,256.0,81.0,32.0,-2.7284841053187847e-12,False,0.0,6209.161148924695,441.9864978771511,0
adaptive_double_ring_clear_probe,1,11,7,11,1.0,True,552.8080078912532,6080.888086803785,4157.888086803785,20789.440434018925,1575.0,315,287,0.9111111111111111,28,0,290,12,12,11,4,4,813.203952548765,2424.653591929227,518.3447298040112,5673.407497976495,40,0.8004395979951369,,,,290.0,36.0,22.0,0.0,False,407.4805888272904,,,
adaptive_double_ring_clear_probe,2,16,6,16,1.0,True,291.18711131201195,4658.993780992191,3562.9937809921903,17814.96890496094,825.0,165,128,0.7757575757575758,37,0,143,32,32,16,1,1,734.9105276678588,4147.576742425335,740.9888653117761,4658.993780992191,57,1.4057484190125251,,,,143.0,96.0,32.0,9.094947017729282e-13,True,0.0,4147.576742425335,511.4170385668558,0
adaptive_double_ring_clear_probe,3,11,2,11,1.0,True,538.1947832830938,5920.142616114032,4082.1426161140316,20410.71308057016,1505.0,301,273,0.9069767441860465,28,0,278,11,11,11,0,0,889.7650799512943,4186.291638664438,506.17613643660604,5730.62574134253,40,0.6317226339888293,,,,278.0,33.0,22.0,0.0,True,189.51687477150153,,,
adaptive_double_ring_clear_probe,4,11,5,11,1.0,True,559.7919986117265,6157.711984728991,4263.711984728992,21318.55992364495,1535.0,307,281,0.9153094462540716,26,0,283,18,18,11,3,3,795.791997309604,1779.1994597613168,2418.2060485484526,5714.143842311045,182,0.5268481569946744,,,,283.0,54.0,22.0,-9.094947017729282e-13,False,443.56814241794655,,,
adaptive_double_ring_clear_probe,5,14,6,14,1.0,True,423.1338276092183,5923.873586529056,4361.873586529055,21809.367932645273,1230.0,246,210,0.8536585365853658,36,0,217,29,29,14,2,2,775.2530314722117,2950.7001681525244,668.5936844743516,4836.494781967725,56,0.9389562980068149,,,,217.0,87.0,28.0,1.8189894035458565e-12,True,1087.378804561331,,,
adaptive_double_ring_clear_probe,6,16,6,16,1.0,True,275.0302662946116,4400.484260713785,3284.4842607137844,16422.421303568924,875.0,175,134,0.7657142857142857,41,0,158,17,17,16,3,3,794.5568352558715,3257.283493495605,670.4775274616673,4400.484260713785,56,0.8495215110015124,,,,158.0,51.0,32.0,9.094947017729282e-13,True,0.0,3257.283493495605,1143.2007672181803,0
adaptive_double_ring_clear_probe,7,12,7,12,1.0,True,548.1622460864769,6577.946953037723,4604.946953037723,23024.734765188627,1590.0,318,288,0.9056603773584906,30,0,290,23,23,12,3,3,1217.971711149232,3325.897892792729,888.6593941941611,6577.946953037723,77,0.6894308799965074,,,,290.0,69.0,24.0,0.0,False,0.0,,,
adaptive_double_ring_clear_probe,8,11,6,11,1.0,True,571.6869197492501,6288.556117241751,4208.55611724175,21042.780586208744,1700.0,340,315,0.9264705882352942,25,0,316,14,14,11,3,3,1441.971595091666,5699.975575602681,2570.4908763367002,6089.8529575157345,208,0.575546291001956,,,,316.0,42.0,22.0,9.094947017729282e-13,False,198.70315972601657,,,
adaptive_double_ring_clear_probe,9,13,8,13,1.0,True,541.5883831282099,7040.648980666729,4974.648980666732,24873.244903333645,1655.0,331,299,0.9033232628398792,32,0,304,27,27,13,4,4,1675.2032930292223,4564.098596841721,912.9946757561606,7040.648980666729,77,0.7326795859989943,,,,304.0,81.0,26.0,-3.637978807091713e-12,False,0.0,,,
