scenario_id,strategy,s2_x,s2_y,selection_objective,selection_runtime_s,candidate_count,exact_objective_evaluation_count,search_levels
2,expected_diameter,162.5,-587.5,53.97408125546822,3.3619441999762785,281,12000,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""exact_candidate_count"": 10, ""best_x"": 200.0, ""best_y"": -550.0, ""best_objective"": 53.9965691932822, ""runtime_s"": 1.3754150999884587}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 140, ""exact_candidate_count"": 10, ""best_x"": 187.5, ""best_y"": -562.5, ""best_objective"": 53.94729233351718, ""runtime_s"": 1.1440013000101317}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 48, ""exact_candidate_count"": 10, ""best_x"": 162.5, ""best_y"": -587.5, ""best_objective"": 53.97408125546822, ""runtime_s"": 0.8423521999793593}]"
2,geometry,12.5,-1387.5,0.0012617893524224679,0.014108400006080046,311,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""best_x"": -50.0, ""best_y"": -1300.0, ""best_objective"": 0.0012435994298402029, ""runtime_s"": 0.004527599987341091}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 140, ""best_x"": 37.5, ""best_y"": -1412.5, ""best_objective"": 0.0012562451682699587, ""runtime_s"": 0.005923899996560067}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""best_x"": 12.5, ""best_y"": -1387.5, ""best_objective"": 0.0012617893524224679, ""runtime_s"": 0.0035488999856170267}]"
2,gdop_mean,162.5,-587.5,14.105952390564138,0.6277986000059173,311,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""best_x"": 200.0, ""best_y"": -550.0, ""best_objective"": 14.148983954851378, ""runtime_s"": 0.1433676999877207}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 140, ""best_x"": -62.5, ""best_y"": -1662.5, ""best_objective"": 14.116582550139176, ""runtime_s"": 0.3104021000035573}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""best_x"": 162.5, ""best_y"": -587.5, ""best_objective"": 14.105952390564138, ""runtime_s"": 0.1739487000158988}]"
2,fim_e,712.5,-887.5,0.008285011153196112,0.5789155999955256,288,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""best_x"": 700.0, ""best_y"": -800.0, ""best_objective"": 0.00804320038525021, ""runtime_s"": 0.1419189999869559}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""best_x"": 737.5, ""best_y"": -912.5, ""best_objective"": 0.008305361091943329, ""runtime_s"": 0.3237063999986276}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 48, ""best_x"": 712.5, ""best_y"": -887.5, ""best_objective"": 0.008285011153196112, ""runtime_s"": 0.11317299999063835}]"
2,random,-800.0,-1300.0,0.0,0.0019748999911826104,93,0,[]
3,expected_diameter,62.5,1262.5,40.881426760533614,3.3572331000177655,287,12000,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""exact_candidate_count"": 10, ""best_x"": 200.0, ""best_y"": 1200.0, ""best_objective"": 41.84657578613818, ""runtime_s"": 0.9330961999949068}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""exact_candidate_count"": 10, ""best_x"": 87.5, ""best_y"": 1237.5, ""best_objective"": 40.88097993393635, ""runtime_s"": 1.2146640999999363}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 53, ""exact_candidate_count"": 10, ""best_x"": 62.5, ""best_y"": 1262.5, ""best_objective"": 40.881426760533614, ""runtime_s"": 1.209256500005722}]"
3,geometry,-137.5,1312.5,0.0016361220241223877,0.01324110000859946,291,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""best_x"": -550.0, ""best_y"": 1450.0, ""best_objective"": 0.0016020024030517915, ""runtime_s"": 0.004217200010316446}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 127, ""best_x"": -162.5, ""best_y"": 1287.5, ""best_objective"": 0.0016353829739860167, ""runtime_s"": 0.005387799988966435}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 77, ""best_x"": -137.5, ""best_y"": 1312.5, ""best_objective"": 0.0016361220241223877, ""runtime_s"": 0.003551900008460507}]"
3,gdop_mean,12.5,1262.5,10.657710413534156,0.543663699994795,282,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""best_x"": -50.0, ""best_y"": 1200.0, ""best_objective"": 10.944580758946602, ""runtime_s"": 0.11271340001258068}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 133, ""best_x"": 37.5, ""best_y"": 1287.5, ""best_objective"": 10.674038019503417, ""runtime_s"": 0.293099100003019}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 62, ""best_x"": 12.5, ""best_y"": 1262.5, ""best_objective"": 10.657710413534156, ""runtime_s"": 0.13777309999568388}]"
3,fim_e,-637.5,812.5,0.03127457061407088,0.5450031000073068,285,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""best_x"": -300.0, ""best_y"": 950.0, ""best_objective"": 0.0180750067232818, ""runtime_s"": 0.1128370999940671}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 132, ""best_x"": -712.5, ""best_y"": 837.5, ""best_objective"": 0.03268970868872874, ""runtime_s"": 0.2845831000013277}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 66, ""best_x"": -637.5, ""best_y"": 812.5, ""best_objective"": 0.03127457061407088, ""runtime_s"": 0.14705959998536855}]"
3,random,-1050.0,-550.0,0.0,0.001798499986762181,87,0,[]
