strategy,n,diameter_mean,diameter_median,diameter_std,diameter_p90,diameter_p75,diameter_p95,diameter_p99,diameter_max,area_mean,area_median,area_std,area_p90,area_p75,area_p95,area_p99,area_max,detection_probability,bearing_probability,no_signal_rate,near_rate,move_distance_mean,move_distance_median,move_distance_p95,move_time_mean,selection_runtime_mean,selection_runtime_median,selection_runtime_p95,candidate_count_mean,exact_objective_evaluation_count_mean
gdop_mean,10000,52.3773472657623,47.54338446998866,31.227502856318576,71.65926493695846,60.36031606994546,81.11908854252286,232.92417631385442,306.71052774447384,569.320719040331,620.4812873125495,272.8858229361767,839.4545873422419,684.9572973921871,1044.1149952342687,1387.359813520559,1759.6091506342489,0.9775,0.9775,0.0225,0.0,1027.034539928364,1146.9475537594471,1229.8047945849694,205.40690798567277,0.6289786514993466,0.6238160999928368,0.7638411399922909,307.1675,0.0
expected_diameter,10000,53.324672762255744,47.63617355167007,37.41884350660854,68.62730051200786,59.63698203432599,78.73079500412977,274.98485519567623,341.1711689104224,594.0073193555007,634.3501235445781,294.4338805430888,918.0874435816372,713.3228722642422,1118.4497611523495,1435.5720338703454,2031.69191457492,0.975,0.975,0.025,0.0,1047.2814712662205,1167.5632153441275,1252.507568801402,209.45629425324412,8.242370219749354,3.026122299997951,4.053718424987164,300.14,12000.0
geometry,10000,67.66638298720947,56.270038348337536,45.21982753818773,120.21180135519548,85.6791170866135,142.46195005175477,237.05467692148818,453.82767281962686,567.3416869594796,460.78439219411916,426.12747461304383,1060.4893904862063,722.7552756217183,1355.1058774398618,2337.2196413126067,3411.228873626417,1.0,1.0,0.0,0.0,920.3936089830634,986.4208090642996,1214.4568625887614,184.07872179661265,0.016159628499808554,0.015337499993620399,0.020533345016883486,304.33,0.0
fim_e,10000,193.41088044472184,66.42384508376414,265.43157306925593,609.4366999044183,237.08089191172502,817.150532190929,1184.5078056626637,1352.2002196752476,2991.3267383735524,655.1325738743567,5352.3791510669025,9578.024215024145,2831.051784429446,15303.983218933225,25226.295277677378,34116.31832897723,1.0,1.0,0.0,0.0,389.1659957089428,313.61778409535754,965.78642955837,77.83319914178855,0.632894149249114,0.6373966999963159,0.7604672499757708,310.4175,0.0
random,10000,588.0355963724327,278.28753291021826,581.028635036868,1495.0030560486202,1209.3342931602865,1495.0030560486202,1495.0030560486205,1495.0030560486205,13207.200348958297,2680.499911898067,15640.908787582752,39269.46353914453,29194.332858984588,39269.46353914472,39269.46353914508,39269.46353914525,0.55,0.55,0.45,0.0,1208.1139494895535,1174.931105012183,2343.4576456762748,241.62278989791068,0.0022667675002593975,0.0019879000028595,0.0025985149928601237,101.785,0.0
