policy,n,full_clear_rate,clear_ratio_mean,virtual_mean_s,virtual_median_s,virtual_p90_s,virtual_p95_s,virtual_max_s,virtual_mean_ci_low_s,virtual_mean_ci_high_s,average_per_clear_mean_s,average_per_clear_median_s,average_per_clear_p90_s,average_per_clear_p95_s,average_per_clear_max_s,average_per_clear_mean_ci_low_s,average_per_clear_mean_ci_high_s,wall_mean_s,wall_p95_s,wall_max_s,action_count_mean,found_to_clear_mean_s,failed_clear_count_mean,coverage_complete_rate,movement_s_mean,switching_s_mean,measurement_s_mean,optical_s_mean,laser_s_mean
candidate_019_grid10_center_approach,5,1.0,1.0,4793.851395064678,4764.464545841016,4907.919510925919,4917.891377790138,4927.863244654358,4712.463018966106,4876.697000555332,299.6157121915424,297.7790341150635,306.74496943286994,307.3682111118836,307.99145279089737,294.5289386853816,305.3257273767169,7.827236180001637,10.325951540004462,10.822047800000291,190.6,2833.6601118782532,3.0,1.0,3691.6513950646777,155.2,858.0,57.0,32.0
candidate_032_grid10_center_coverage0,5,1.0,1.0,5455.601693276176,5506.178450833621,5738.417330787279,5758.740821470624,5779.064312153969,5191.147293553469,5683.840158523209,340.975105829761,344.13615317710133,358.6510831742049,359.921301341914,361.19151950962305,324.5602997583961,355.24000990770054,23.193993320001756,25.57861736001214,25.971783400018467,171.0,3056.759261543693,17.0,1.0,4539.801693276177,94.8,690.0,99.0,32.0
candidate_033_grid10_center_coverage2,5,1.0,1.0,5453.628099860917,5476.196345077676,5682.739495575794,5716.593177156518,5750.446858737243,5229.952480416516,5647.741063680989,340.8517562413073,342.26227156735473,355.1712184734871,357.2870735722824,359.4029286710777,326.87203002603223,352.9838164800618,22.330877860001056,24.688128100009635,24.948471300012898,180.6,3121.6152918233324,15.4,1.0,4473.628099860916,107.8,746.0,94.2,32.0
candidate_034_grid10_center_coverage4,5,1.0,1.0,5488.6337483898515,5516.279943872998,5662.906281885401,5666.148892235993,5669.391502586586,5301.952480416517,5632.283970142683,343.0396092743657,344.7674964920624,353.93164261783755,354.13430576474957,354.33696891166164,331.5746931729443,352.0177481339177,20.804030940012307,24.57895582000492,24.823156099999323,187.2,3102.6841835816317,13.4,1.0,4461.233748389851,118.2,789.0,88.2,32.0
candidate_035_grid10_center_coverage8,5,1.0,1.0,5224.748446325785,5177.816626189289,5469.473380761335,5533.829836060464,5598.186291359594,5058.394341919609,5414.318920345034,326.5467778953616,323.6135391368306,341.8420862975834,345.864364753779,349.88664320997464,316.5060903077686,339.38364841319896,16.724916079995456,22.823731399991082,23.046453199989628,195.8,3087.7586568814595,8.0,1.0,4123.348446325786,138.4,859.0,72.0,32.0
