contrast,emitter_count,strategy,paired_cases,mean_time_difference_s,ci95_low_s,ci95_high_s,median_time_difference_s,positive_difference_rate,mean_movement_time_s_difference,mean_measure_time_s_difference,mean_switch_time_s_difference,mean_optical_time_s_difference
p1_minus_p0,10,double_ring_optical_clear_probe,100,1350.943585873994,1237.3393206199007,1471.097070265863,1311.4160913072742,1.0,959.5235858739939,328.25,64.16,-0.99
p1_minus_p0,10,adaptive_double_ring_clear_probe,100,1098.0228946989905,998.3574370743953,1198.9509405149054,1019.0940282211568,1.0,716.6928946989898,326.35,63.8,-8.82
p1_minus_p0,13,double_ring_optical_clear_probe,100,1696.1086249752232,1563.8529004122677,1830.4143085718467,1603.083653250152,1.0,1200.538624975223,414.7,81.02,-0.15
p1_minus_p0,13,adaptive_double_ring_clear_probe,100,1342.2064090210517,1236.1534497213997,1448.4942934497303,1322.1638921065141,1.0,865.8064090210512,405.85,79.07,-8.52
p1_minus_p0,16,double_ring_optical_clear_probe,100,2923.9838465573307,2750.304525726688,3095.399031041825,2865.962792631316,1.0,2163.7238465573305,642.55,118.61,-0.9
p1_minus_p0,16,adaptive_double_ring_clear_probe,100,2434.097181813407,2264.690518427639,2605.9300323965476,2491.6422549458416,0.99,1625.0271818134074,688.75,124.16,-3.84
