strategy,grand_mean_time_s,ss_emitter_count,ss_directional_probability,ss_interaction,ss_seed_block,ss_residual,treatment_ss_share_emitter_count,treatment_ss_share_directional_probability,treatment_ss_share_interaction,partial_eta_squared_emitter_count,partial_eta_squared_directional_probability,partial_eta_squared_interaction,model_note
double_ring_optical_clear_probe,6580.565868053779,35256581.412344106,725964468.8351555,85592098.42123848,303559478.4434017,336754634.9095417,0.04163442840698734,0.8572900290653647,0.10107554252764792,0.09477289894893398,0.6831198068022666,0.2026583649557983,Balanced randomized-block decomposition; base_seed is the block. Partial eta squared uses factor SS/(factor SS+residual SS).
adaptive_double_ring_clear_probe,6262.46879824268,182444865.77130526,486339534.6830241,61377946.80506978,183106437.7435202,249878041.90303254,0.24986890443761745,0.6660704109277303,0.08406068463465223,0.42201063726361265,0.6605921267707954,0.19719442848256447,Balanced randomized-block decomposition; base_seed is the block. Partial eta squared uses factor SS/(factor SS+residual SS).
