seed,channel,localize_count,localize_movement_distance_m,localize_movement_time_s,clear_action_count,clear_movement_distance_m,clear_movement_time_s,first_found_virtual_time_s,cleared_virtual_time_s,found_to_clear_s,localize_source_types
321100,1,1,977.8652385699379,195.5730477139876,1,12.713312279602917,2.5426624559205835,5.0,3764.2624084456816,3759.2624084456816,chebyshev_center:1
321100,2,1,960.0434721092729,192.00869442185459,1,5.65770939710481,1.131541879420962,11.0,2681.8716487153097,2670.8716487153097,chebyshev_center:1
321100,3,1,147.48017234383713,29.496034468767427,1,11.173436311732626,2.234687262346525,375.37605739875835,4499.502004111796,4124.125946713038,centroid:1
321100,4,2,1165.0516480794417,233.01032961588834,1,9.013878188659973,1.8027756377319946,23.0,3984.178386988671,3961.178386988671,mec_center:2
321100,5,0,0.0,0,1,597.520920135856,119.5041840271712,29.0,3888.7665924728526,3859.7665924728526,
321100,7,1,782.939155502567,156.5878311005134,1,11.92936244678586,2.3858724893571717,741.3760573987585,4890.066461694128,4148.690404295369,chebyshev_center:1
321100,8,1,1040.0480758118829,208.00961516237658,1,7.905694150420947,1.5811388300841895,747.3760573987585,4720.092758104257,3972.7167007054986,mec_center:1
321100,9,0,0.0,0,1,672.3321351831996,134.4664270366399,53.0,4123.644814025311,4070.6448140253106,
321100,10,1,480.17205081162024,96.03441016232405,1,5.383026682374135,1.076605336474827,59.0,2789.982664214109,2730.982664214109,chebyshev_center:1
321100,11,4,555.7322403477913,111.14644806955825,1,14.142135623730951,2.8284271247461903,2229.7565372197296,2477.731412414034,247.97487519430433,chebyshev_center:1;mec_center:3
321100,12,1,700.7546560610613,140.15093121221224,1,342.79408499494434,68.55881699898887,1477.067179583249,3044.061711064385,1566.9945314811357,mec_center:1
321100,14,1,908.6597272906948,181.73194545813897,1,9.013878188659973,1.8027756377319946,417.37605739875835,4456.771282380682,4039.395224981924,mec_center:1
321100,16,1,750.3268336637292,150.06536673274584,1,988.2339044983225,197.64678089966452,1125.3760573987583,3555.1466982757734,2429.770640877015,mec_center:1
321100,17,5,1372.920521727372,274.58410434547443,1,14.270509831248505,2.854101966249701,1495.067179583249,3352.499917376109,1857.4327377928598,chebyshev_center+task2_e_optimal:1;mec_center:4
321100,19,2,605.0530421470786,121.01060842941573,1,7.905694150420947,1.5811388300841895,447.37605739875835,4262.236561284811,3814.8605038860524,chebyshev_center:1;mec_center:1
321100,20,4,772.6011492564372,154.52022985128744,0,0.0,0,1893.7565372197298,2970.502894065396,1076.7463568456662,chebyshev_center:1;chebyshev_center+task2_e_optimal:1;mec_center:2
321101,1,1,187.53425470408573,37.506850940817145,1,7.127729172216136,1.4255458344432272,370.0,2718.3185578199673,2348.3185578199673,chebyshev_center:1
321101,2,1,373.8980343297011,74.77960686594022,1,3.902461537177481,0.7804923074354961,376.0,3252.36409916467,2876.36409916467,centroid:1
321101,5,1,137.47972571171883,27.495945142343764,1,8.243221486797674,1.6486442973595348,394.0,2980.847836282892,2586.847836282892,chebyshev_center:1
321101,7,1,749.4690688026748,149.89381376053495,1,7.926759094827343,1.5853518189654685,742.0000000000001,3414.8432647441705,2672.8432647441705,chebyshev_center:1
321101,8,1,506.6896168462154,101.33792336924309,1,6.141821645591936,1.2283643291183872,47.0,4868.172927009198,4821.172927009198,chebyshev_center:1
321101,9,1,1302.7356845656873,260.5471369131375,1,13.814922226511712,2.7629844453023424,53.0,3689.15338610261,3636.15338610261,mec_center+task2_geometry:1
