coverage_index,x_m,y_m
0,0.0,0.0
1,1200.0,0.0
2,600.0000000000001,1039.2304845413264
3,-599.9999999999998,1039.2304845413264
4,-1200.0,1.4695761589768238e-13
5,-600.0000000000006,-1039.230484541326
6,600.0000000000001,-1039.2304845413264
