seed,channel,start_index,end_index,outcome,phase,frontier_rank,task_start_x_m,task_start_y_m,main_action_count,opportunistic_action_count,preview_kind,preview_reason,preview_end_x_m,preview_end_y_m,actual_end_x_m,actual_end_y_m,preview_travel_m,actual_travel_m,endpoint_error_m,preview_cost_s,actual_main_cost_s,actual_total_cost_s,cost_error_s,cost_error_total_s,preview_end_is_start_pose,path_length_m,net_displacement_m,within_task_detour_ratio,current_pose_measure_actions,forward_route_measure_actions,main_action_chain
20260911,4,387,406,channel_cleared,directional_sweep,5,1197.5,-912.5,5,1,MEASURE,current_position_information,1197.5,-912.5,17.5,-77.5,0.0,834.8506150683387,1445.5535271998751,6.0,193.97012301366775,328.8354257072765,187.97012301366775,322.8354257072765,True,1479.1771285363827,1445.5535271998751,1.0232600181894602,1,0,MEASURE:4:current_position_information|MEASURE:4:forward_center_measurement|MEASURE:4:forward_center_measurement|MEASURE:4:forward_center_measurement|CLEAR:4:certified_clear_point
20260911,9,411,418,channel_cleared,directional_sweep,5,17.5,-77.5,2,0,MEASURE,forward_center_measurement,695.0,-287.5,697.5,-300.0,709.2998308190972,722.0473796030792,12.747548783981962,147.85996616381945,155.40947592061585,155.40947592061585,7.549509756796397,7.549509756796397,False,722.0473796030792,715.476239996829,1.0091842876659038,0,0,MEASURE:9:forward_center_measurement|CLEAR:9:certified_clear_point
20260911,18,423,426,channel_cleared,directional_sweep,5,697.5,-300.0,1,0,CLEAR,certified_clear_point,865.0,-1182.5,865.0,-1182.5,898.2552532548864,898.2552532548864,0.0,184.65105065097728,184.65105065097728,184.65105065097728,0.0,0.0,False,898.2552532548864,898.2552532548864,1.0,0,0,CLEAR:18:certified_clear_point
20260912,1,49,68,channel_cleared,directional_sweep,0,771.3451316238472,919.2533317427736,6,0,MEASURE,forward_center_measurement,1055.0,1062.5,1310.0,1220.0,317.77302012645504,618.4688003374968,299.7186180403213,69.55460402529101,154.69376006749934,154.69376006749934,85.13915604220833,85.13915604220833,False,618.4688003374968,616.9259483059151,1.002500870705501,0,0,MEASURE:1:forward_center_measurement|MEASURE:1:forward_center_measurement|MEASURE:1:forward_center_measurement|MEASURE:1:forward_center_measurement|MEASURE:1:forward_center_measurement|CLEAR:1:certified_clear_point
20260912,11,96,106,channel_cleared,directional_sweep,1,-410.42417199080245,1127.63114494309,2,1,MEASURE,current_position_information,-410.42417199080245,1127.63114494309,-192.5,1572.5,0.0,0.0,495.3778789343776,6.0,11.0,116.07557578687552,5.0,110.07557578687552,True,495.3778789343776,495.3778789343776,1.0,1,0,MEASURE:11:current_position_information|CLEAR:11:certified_clear_point
20260912,5,111,130,channel_cleared,directional_sweep,1,-192.5,1572.5,3,3,MEASURE,forward_route_measurement,-410.42417199080245,1127.63114494309,-52.5,1030.0,495.3778789343776,766.5308467973562,371.0007457650189,92.69112881351609,170.30616935947123,211.20705069653854,77.61504054595514,118.51592188302246,False,886.0352534826926,560.2733707753742,1.5814338137407629,0,1,MEASURE:5:forward_route_measurement|MEASURE:5:forward_center_measurement|CLEAR:5:certified_clear_point
20260912,7,135,140,channel_cleared,directional_sweep,1,-52.5,1030.0,2,0,MEASURE,forward_center_measurement,-772.5,1350.0,-772.5,1350.0,787.9086241436884,787.9086241436884,0.0,162.58172482873766,167.58172482873766,167.58172482873766,5.0,5.0,False,787.9086241436884,787.9086241436884,1.0,0,0,MEASURE:7:forward_center_measurement|CLEAR:7:near_immediate
20260912,20,164,195,channel_cleared,directional_sweep,2,-1181.7693036146495,208.37781320031684,4,6,MEASURE,forward_route_measurement,-1130.4662821157992,67.42392008243053,-1435.0,-67.5,150.00000000000003,4.323426488511456,333.08444805902315,6.0,23.86468529770229,158.79543259343586,17.86468529770229,152.79543259343586,False,498.97716296717937,374.4787756442259,1.332457793125326,0,1,MEASURE:20:forward_route_measurement|MEASURE:20:forward_center_measurement|MEASURE:20:forward_center_measurement|CLEAR:20:certified_clear_point
20260912,13,200,207,channel_cleared,directional_sweep,2,-1435.0,-67.5,1,1,CLEAR,certified_clear_point,-1337.5,-117.5,-1337.5,-117.5,109.57303500405563,109.57303500405563,0.0,26.914607000811124,26.914607000811124,32.914607000811124,0.0,6.0,False,109.57303500405563,109.57303500405563,1.0,0,0,CLEAR:13:certified_clear_point
20260912,19,212,228,channel_cleared,directional_sweep,2,-1337.5,-117.5,3,2,MEASURE,current_position_information,-1337.5,-117.5,-1400.0,-325.0,0.0,0.0,216.70832932769335,5.0,16.0,161.9391341015139,11.0,156.9391341015139,True,669.6956705075694,216.70832932769335,3.0903088616169234,1,1,MEASURE:19:current_position_information|MEASURE:19:forward_route_measurement|CLEAR:19:certified_clear_point
20260912,15,233,249,channel_cleared,directional_sweep,2,-1400.0,-325.0,3,2,MEASURE,current_position_information,-1400.0,-325.0,-1142.5,-80.0,0.0,313.30531433019746,355.43107630031454,6.0,79.6610628660395,100.1961467115562,73.6610628660395,94.1961467115562,True,355.9807335577809,355.43107630031454,1.0015464524463864,1,0,MEASURE:15:current_position_information|MEASURE:15:forward_center_measurement|CLEAR:15:certified_clear_point
20260912,12,254,264,channel_cleared,directional_sweep,2,-1142.5,-80.0,3,0,MEASURE,current_position_information,-1142.5,-80.0,-1732.5,-450.0,0.0,696.4993160473746,696.419413859206,5.0,154.29986320947492,154.29986320947492,149.29986320947492,149.29986320947492,True,696.4993160473746,696.419413859206,1.000114732855774,1,0,MEASURE:12:current_position_information|MEASURE:12:forward_center_measurement|CLEAR:12:certified_clear_point
20260912,3,284,292,channel_cleared,directional_sweep,3,-771.3451316238474,-919.2533317427735,3,0,MEASURE,forward_center_measurement,-990.0,-857.5,-1012.5,-842.5,227.20789036898714,254.24952493496704,27.04163456597992,51.44157807379743,66.84990498699341,66.84990498699341,15.408326913195978,15.408326913195978,False,254.24952493496704,253.0745828311009,1.004642671305519,0,0,MEASURE:3:forward_center_measurement|MEASURE:3:forward_center_measurement|CLEAR:3:near_immediate
20260912,18,310,324,channel_cleared,directional_sweep,4,410.42417199080177,-1127.6311449430902,3,2,MEASURE,current_position_information,410.42417199080177,-1127.6311449430902,-97.5,-1357.5,0.0,0.0,557.5183001639642,6.0,17.0,140.50366003279285,11.0,134.50366003279285,True,557.5183001639642,557.5183001639642,1.0,1,0,MEASURE:18:current_position_information|MEASURE:18:forward_center_measurement|CLEAR:18:near_immediate
20260912,9,329,345,channel_cleared,directional_sweep,4,-97.5,-1357.5,3,2,MEASURE,current_position_information,-97.5,-1357.5,800.0,-1300.0,0.0,233.25264886692028,899.3400358040334,6.0,63.65052977338405,210.85870260328366,57.65052977338405,204.85870260328366,True,909.2935130164183,899.3400358040334,1.0110675348768237,1,0,MEASURE:9:current_position_information|MEASURE:9:forward_center_measurement|CLEAR:9:certified_clear_point
20260912,8,350,369,channel_cleared,directional_sweep,4,800.0,-1300.0,4,2,MEASURE,current_position_information,800.0,-1300.0,-42.5,-382.5,0.0,991.8176527215497,1245.637387043276,6.0,221.36353054430995,284.669697092286,215.36353054430995,278.669697092286,True,1248.34848546143,1245.637387043276,1.0021764748283521,1,1,MEASURE:8:current_position_information|MEASURE:8:forward_route_measurement|MEASURE:8:forward_center_measurement|CLEAR:8:certified_clear_point
20260912,2,374,378,channel_cleared,directional_sweep,4,-42.5,-382.5,1,0,CLEAR,certified_clear_point,443.0263157894737,-1550.921052631579,443.0263157894737,-1550.921052631579,1265.2839837588979,1265.2839837588979,0.0,258.0567967517796,258.0567967517796,258.0567967517796,0.0,0.0,False,1265.2839837588979,1265.2839837588979,1.0,0,0,CLEAR:2:certified_clear_point
20260912,6,394,404,channel_cleared,directional_sweep,5,1181.7693036146495,-208.37781320031647,3,0,MEASURE,current_position_information,1181.7693036146495,-208.37781320031647,280.0,-185.0,0.0,922.0689585573954,902.072280414202,6.0,200.41379171147906,200.41379171147906,194.41379171147906,194.41379171147906,True,922.0689585573954,902.072280414202,1.0221674898756576,1,0,MEASURE:6:current_position_information|MEASURE:6:forward_center_measurement|CLEAR:6:certified_clear_point
20260912,16,409,416,channel_cleared,directional_sweep,5,280.0,-185.0,3,0,MEASURE,current_position_information,280.0,-185.0,1000.0,400.0,0.0,941.3684928974155,927.6987657639736,6.0,204.27369857948312,204.27369857948312,198.27369857948312,198.27369857948312,True,941.3684928974155,927.6987657639736,1.0147350925083798,1,0,MEASURE:16:current_position_information|MEASURE:16:forward_center_measurement|CLEAR:16:certified_clear_point
