case_reason,scenario_id,s1_x,s1_y,bearing1_rad,f1_area_m2,f1_diameter_m,s2_x,s2_y,target_x,target_y,true_radius_m,outcome,f2_area_m2,f2_diameter_m,best_baseline,best_baseline_diameter_m
ED-best,55,532.5632545635274,668.3123072774204,0.614458151799611,16203.043684306711,960.9037085747173,1312.5,712.5,1314.7769350004542,1214.6493111527636,1500.0,bearing,621.4434039823473,46.01271426440638,gdop_mean,50.09279501991139
ED-worst,206,509.72858506860246,1425.78500039257,4.202646729729311,39269.46353914472,1495.0030560486205,-587.5,762.5,374.5162047548582,1193.5235623529395,1000.0,no_signal,2031.69191457492,341.1711689104224,fim_e,37.977599964591015
large-F1,21,-534.8011720803095,193.40079129121625,5.0777518755535365,39269.46353914484,1495.0030560486205,412.5,-587.5,-113.20490821591076,-860.7180755149344,1171.2314275363326,bearing,859.9728941202706,48.07951469058406,gdop_mean,47.39100714870413
boundary-selected,278,-1147.258001985802,978.5258688224058,4.7055175659675,39269.463539144504,1495.0030560486202,-1787.5,-37.5,-1161.5570812685862,390.8000230576488,1000.0,bearing,661.2176978745456,51.65897348947972,geometry,45.06156212991979
near-parallel,223,489.66303173060487,-1290.268841208749,2.5554559785733293,39269.463539144606,1495.0030560486202,-687.5,-1187.5,415.7344262939552,-1242.9399433830572,1500.0,bearing,134.92859368244353,83.01819034350508,fim_e,48.271326770664984
