radius_prior,n_scenarios,expected_diameter_mean_m,realized_diameter_mean_m,realized_diameter_p95_m,selected_point_shift_mean_m,selection_runtime_mean_s,candidate_count_mean,exact_evaluation_count_mean,selection_stability_within_100m,scenario_objective_rank_spearman
conditional_uniform,12,44.649852317504404,47.788352259580314,67.86361991877732,0.0,3.8554812500005937,279.3333333333333,12000.0,1.0,1.0
fixed_1000,12,45.09987200656886,46.94210596715306,69.18718277608117,41.19312298905282,3.8085224333335645,289.3333333333333,12000.0,0.8333333333333334,0.9860139860139862
fixed_1250,12,44.35934502611051,48.472799570736555,67.86361991877732,15.20950641613702,3.8440234583370816,278.6666666666667,12000.0,0.9166666666666666,1.0
fixed_1500,12,44.34911744257018,48.663775923415635,67.86361991877732,18.633899812498246,3.9030009999999797,280.5,12000.0,0.8333333333333334,1.0
