strategy_a,strategy_b,win_rate_a,tie_rate,loss_rate_a,mean_improvement_m,median_improvement_m,mean_improvement_ci_low,mean_improvement_ci_high
expected_diameter,random,0.8446,0.0,0.1554,534.7109236101771,241.65068353888228,481.3441855149703,588.9351465660661
fim_e,random,0.7072,0.0,0.2928,394.62471592771095,165.55784782419929,333.44714496972824,456.02327278212533
gdop_mean,random,0.8469,0.0,0.1531,535.6582491066705,240.6007334184247,482.1647460896207,592.2022706996252
geometry,random,0.8042,0.0,0.1958,520.3692133852234,238.04215370706567,465.4992210451731,576.278443347385
