study,n_scenarios,expected_diameter_mean_m,realized_diameter_mean_m,realized_diameter_p95_m,selected_point_shift_mean_m,selection_runtime_mean_s,candidate_count_mean,exact_evaluation_count_mean,selection_stability_within_100m,scenario_objective_rank_spearman
coarse-250,6,47.02688580096325,48.811501763023635,64.99565088157239,495.27363780743934,1.2216720500049025,90.83333333333333,4000.0,0.16666666666666666,0.942857142857143
coarse-150,6,46.38907418197818,52.12508906802441,62.39676984348657,264.7323412796623,1.5039085833292727,250.33333333333334,4000.0,0.8333333333333334,1.0
coarse-100,6,46.00534325549464,51.2449345692306,64.70330522498733,45.55786471779092,2.1046760833317726,571.1666666666666,4000.0,1.0,1.0
coarse-to-fine-250-100-50,6,45.92008195284598,49.992914954865824,60.55126007501223,0.0,3.7826846000001146,288.0,12000.0,1.0,1.0
