strategy_a,strategy_b,win_rate_a,tie_rate,mean_improvement_m,median_improvement_m,mean_improvement_ci_low,mean_improvement_ci_high
gdop_worst,random,0.7905,0.0125,289.8882709824444,38.86121521648674,242.6334213502322,342.3864370885771
geometry,eig,0.4198,0.4425,12.320522425918865,0.0,8.546480214967914,16.281909021787513
geometry,expected_diameter,0.3567,0.095,-13.71922373964731,-2.3542994194175257,-18.44752331755295,-9.14107970045807
geometry,fim_a,0.3578,0.0875,-10.534062077452841,-2.2469026856671803,-17.345080704423975,-1.4581525417691863
geometry,fim_d,0.4277,0.45,13.638500035945643,0.0,9.93014559250246,17.255412546212916
geometry,fim_e,0.4736,0.0375,21.208109530335076,0.0,9.806030438954146,32.873047875569476
geometry,gdop_mean,0.3323,0.1,-12.597899899781334,-2.9324388639422416,-19.601576925102158,-3.270621170445277
geometry,gdop_worst,0.4172,0.025,-9.120630944467091,-2.923362795917587,-16.571720515833324,0.5716537783422455
geometry,minimax_diameter,0.4433,0.0375,-3.692086499440568,-0.9967858602622615,-11.718672407614388,6.842412040107851
geometry,random,0.7188,0.01,280.76764003797723,30.031082597510654,234.70384101297643,330.3800068778417
minimax_diameter,eig,0.6812,0.0275,16.012608925359434,10.644167234375832,6.4135892141734105,23.885899634093757
minimax_diameter,expected_diameter,0.2275,0.405,-10.027137240206743,0.0,-18.882415917529006,-3.415010903046575
minimax_diameter,fim_a,0.1436,0.54,-6.841975578012275,0.0,-10.951608562093654,-3.334671145218085
minimax_diameter,fim_d,0.6956,0.0225,17.330586535386217,13.69998581404476,7.244615964925559,25.107345149234497
minimax_diameter,fim_e,0.4922,0.0175,24.90019602977565,0.0,9.31053048050127,37.98330722410057
minimax_diameter,gdop_mean,0.1698,0.425,-8.905813400340763,0.0,-13.309929365713424,-4.827260144267659
minimax_diameter,gdop_worst,0.122,0.6275,-5.428544445026524,0.0,-8.800253332850913,-2.7513014060984813
minimax_diameter,geometry,0.5192,0.0375,3.692086499440568,0.9967858602622615,-6.2242660522341255,11.60434507862428
minimax_diameter,random,0.7783,0.0075,284.4597265374178,39.116551807511996,237.41125831703118,337.33716352364644
random,eig,0.3474,0.0075,-268.4471176120584,-24.023722675370994,-319.56513259263124,-221.1437220466935
random,expected_diameter,0.195,0.0275,-294.48686377762454,-39.95439448814039,-345.7972793879986,-248.447192515679
random,fim_a,0.1898,0.015,-291.30170211543015,-39.41937466420853,-341.1076436972969,-244.11657731086288
random,fim_d,0.3454,0.02,-267.12914000203165,-22.686146301238345,-315.21416799742843,-221.40878966619493
random,fim_e,0.3027,0.01,-259.55953050764214,-22.23112417730252,-311.1193546830511,-210.55910085057315
random,gdop_mean,0.1825,0.0225,-293.36553993775857,-39.601588197952026,-344.3263605107075,-244.1868921814839
random,gdop_worst,0.197,0.0125,-289.8882709824444,-38.86121521648674,-339.7407242343171,-241.54905394265114
random,geometry,0.2712,0.01,-280.76764003797723,-30.031082597510654,-331.2307366103465,-230.36888204139237
random,minimax_diameter,0.2142,0.0075,-284.4597265374178,-39.116551807511996,-333.42954263701915,-233.4111606594892
