group,cases,mean_directional_fraction,mean_delta_s,median_delta_s,p95_delta_s,candidate_faster_rate,candidate_slower_rate,gained_6000_cases,lost_6000_cases
40-<50%,21,0.4336611800897515,-313.5971722562663,-175.26031157806847,94.34202938340786,0.7619047619047619,0.23809523809523808,3,1
50-<60%,24,0.525485452047952,-314.41330175802176,-247.44519241606804,47.526882698036424,0.6666666666666666,0.3333333333333333,1,0
<40%,19,0.3240925740925741,-257.9372637166154,-175.80738501395626,80.91155540908257,0.8947368421052632,0.10526315789473684,3,0
>=60%,36,0.6690464627964627,-302.4192692006689,-175.1758396879436,110.47092369323536,0.7777777777777778,0.2222222222222222,3,0
