seed,emitter_count,directional_count,directional_fraction,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s
0,16,16,1.0,6480.57811042639,5202.7856966622785,-1277.7924137641112
1,11,11,1.0,7900.824909703805,7897.595261097863,-3.2296486059422023
2,16,16,1.0,8863.459151962948,7851.291041295651,-1012.1681106672977
3,11,11,1.0,7244.6306785939105,7267.176033484607,22.545354890696217
4,11,11,1.0,7206.682320978028,7157.549868274724,-49.1324527033039
5,14,14,1.0,7773.828034893259,6749.6835127063505,-1024.144522186909
6,16,16,1.0,6394.757592691919,5878.231988036025,-516.5256046558943
7,12,12,1.0,6801.026088717131,6459.552392137699,-341.4736965794318
8,11,11,1.0,7312.365784731628,6548.900574869901,-763.4652098617271
9,13,13,1.0,7314.714619842398,6835.498941587251,-479.2156782551474
10,14,14,1.0,8522.365066735318,7859.529334127083,-662.835732608235
11,13,13,1.0,6753.749735009773,6239.868656325205,-513.8810786845679
12,13,13,1.0,6493.213879725266,6575.457236397647,82.24335667238029
13,12,12,1.0,8124.095832670953,7757.222401988016,-366.8734306829374
14,10,10,1.0,6474.427922063773,7002.3110379392165,527.8831158754438
15,11,11,1.0,7950.163516828472,7526.832721247766,-423.33079558070585
16,12,12,1.0,7856.911417281537,7596.713038909587,-260.19837837194973
17,14,14,1.0,7996.1524273328705,7145.741346147795,-850.4110811850751
18,11,11,1.0,6688.258573311976,6305.648799783255,-382.60977352872123
19,15,15,1.0,7155.312330168215,7025.5244123511575,-129.78791781705786
20,15,15,1.0,6946.038960455495,6795.024068303457,-151.01489215203765
21,11,11,1.0,8024.40328502306,6974.4448078762725,-1049.9584771467871
22,11,11,1.0,8017.272946442565,7602.504100440913,-414.7688460016516
23,16,16,1.0,8362.132981944898,7093.109463911909,-1269.0235180329892
24,15,15,1.0,7648.507449241444,7591.06820185855,-57.43924738289388
25,13,13,1.0,7083.448958103351,6531.343170919954,-552.1057871833973
26,15,15,1.0,8351.531366808327,7886.969509619503,-464.56185718882443
27,15,15,1.0,6853.971192640969,7167.793205623261,313.8220129822921
28,10,10,1.0,7584.688824243025,7239.510941171032,-345.17788307199316
29,14,14,1.0,7608.0922819737825,7363.108895872488,-244.98338610129485
30,14,14,1.0,6670.876257136777,6691.905009651696,21.02875251491878
31,10,10,1.0,7970.546749713925,7639.70917235541,-330.83757735851486
32,10,10,1.0,7386.7150978694735,7244.675860510193,-142.03923735928038
33,14,14,1.0,8429.228626633598,7625.536067437256,-803.6925591963418
34,14,14,1.0,6981.868444030636,6438.241938628161,-543.6265054024752
35,14,14,1.0,7174.7742255879,6469.637900972485,-705.1363246154151
36,12,12,1.0,6478.334135455765,6462.819225893839,-15.514909561926288
37,15,15,1.0,6867.419780583046,7002.0177230683385,134.59794248529215
38,15,15,1.0,8155.755749075895,7286.9565291904155,-868.7992198854799
39,11,11,1.0,6797.014371767941,6351.83963589582,-445.17473587212135
40,13,13,1.0,7548.770621989666,7478.36775275039,-70.4028692392767
41,13,13,1.0,7049.986697705769,7087.554805765106,37.56810805933674
42,15,15,1.0,7227.334377814464,7067.725036406915,-159.60934140754853
43,10,10,1.0,7341.678536459007,7144.050683774983,-197.62785268402422
44,13,13,1.0,6854.718617494494,6870.610773910345,15.892156415851787
45,12,12,1.0,8785.445753498585,8143.986058803041,-641.4596946955444
46,10,10,1.0,6713.091333682858,6860.411019225242,147.31968554238392
47,12,12,1.0,8065.797401500382,6116.561962827226,-1949.2354386731558
48,14,14,1.0,6659.932506448452,6703.659462546645,43.726956098193114
49,10,10,1.0,7444.31901803003,6699.976122038045,-744.3428959919847
50,13,13,1.0,7320.229148166588,6970.619540267691,-349.6096078988967
51,11,11,1.0,7425.510469627155,7469.588171490914,44.0777018637591
52,12,12,1.0,8751.043100647245,7254.569957307054,-1496.4731433401903
53,14,14,1.0,7890.635239752501,7591.318247524273,-299.3169922282277
54,11,11,1.0,6970.62731445733,6896.435201223715,-74.19211323361469
55,10,10,1.0,7120.143242470299,6234.6938042833235,-885.4494381869754
56,16,16,1.0,6855.887559294389,6645.106301290785,-210.7812580036034
57,10,10,1.0,8761.645793128995,8208.358798092666,-553.2869950363292
58,14,14,1.0,6529.428709688228,6719.872130445688,190.44342075745953
59,11,11,1.0,7337.591602271398,6671.948394004817,-665.6432082665815
60,12,12,1.0,6542.23029467255,6448.479474923415,-93.75081974913519
61,13,13,1.0,7464.701891063068,6981.964521111386,-482.737369951682
62,14,14,1.0,6664.280390263639,6708.518572305053,44.23818204141389
63,13,13,1.0,8224.89863365113,8196.928455185262,-27.97017846586823
64,13,13,1.0,7436.041532123656,7329.995116364405,-106.04641575925143
65,13,13,1.0,7611.814026224133,7067.843952199714,-543.9700740244189
66,10,10,1.0,7805.913247333673,7217.170104723937,-588.7431426097364
67,10,10,1.0,7973.420805932907,7553.959586503401,-419.46121942950595
68,15,15,1.0,7250.545786309748,6640.18752002427,-610.3582662854778
69,15,15,1.0,7636.369175299653,7040.013127828438,-596.3560474712149
70,10,10,1.0,6894.207267941119,6875.358696293134,-18.84857164798541
71,12,12,1.0,6654.607657834093,6240.430383027886,-414.1772748062067
72,10,10,1.0,7747.228743676645,7177.444001048623,-569.7847426280214
73,12,12,1.0,7349.1267715637005,6580.125019103574,-769.0017524601262
74,16,16,1.0,7776.786715721495,9191.480354211093,1414.693638489598
75,13,13,1.0,9285.271261585867,8526.131680136887,-759.1395814489806
76,12,12,1.0,7179.8665220054945,6110.341407079557,-1069.5251149259375
77,16,16,1.0,7336.447915520756,6940.28475571761,-396.1631598031463
78,16,16,1.0,7899.61065387029,7415.077388960137,-484.53326491015287
79,11,11,1.0,6656.222450922178,6799.386357041073,143.16390611889528
80,12,12,1.0,6610.533245580601,6276.4428576715145,-334.09038790908653
81,14,14,1.0,6937.249581036798,7339.273211874614,402.0236308378162
82,11,11,1.0,7668.504041992432,7544.886727977809,-123.61731401462293
83,13,13,1.0,8583.95310023961,7608.5403012497445,-975.4127989898661
84,15,15,1.0,7219.858325303823,7146.2697999517695,-73.5885253520537
85,11,11,1.0,7779.313568259558,7685.359812715351,-93.95375554420752
86,16,16,1.0,7985.374494835038,6253.707919809837,-1731.6665750252005
87,11,11,1.0,7697.329768517072,7211.284274845515,-486.04549367155687
88,13,13,1.0,6910.982159355311,6659.2414057464475,-251.7407536088631
89,10,10,1.0,7404.467184662873,6830.430525645828,-574.0366590170443
90,11,11,1.0,7969.992311046475,7022.65289331298,-947.3394177334949
91,10,10,1.0,6996.438460959054,7462.539508429411,466.1010474703571
92,13,13,1.0,6947.50584421782,6672.056733135716,-275.4491110821036
93,16,16,1.0,8326.105763162115,7420.279957127338,-905.8258060347771
94,14,14,1.0,8002.509763102766,6662.1437171934385,-1340.366045909327
95,16,16,1.0,6828.724713121914,6658.729603104588,-169.99511001732571
96,12,12,1.0,6801.277711579154,7068.789306680821,267.5115951016669
97,11,11,1.0,6469.1792412918785,6527.339782930382,58.16054163850367
98,12,12,1.0,6902.218663983784,6965.491649983363,63.27298599957885
99,13,13,1.0,7105.887900244843,6412.414065563237,-693.4738346816057
