policy,n,full_clear_rate,clear_ratio_mean,virtual_mean_s,virtual_median_s,virtual_p90_s,virtual_p95_s,virtual_max_s,virtual_mean_ci_low_s,virtual_mean_ci_high_s,average_per_clear_mean_s,average_per_clear_median_s,average_per_clear_p90_s,average_per_clear_p95_s,average_per_clear_max_s,average_per_clear_mean_ci_low_s,average_per_clear_mean_ci_high_s,wall_mean_s,wall_p95_s,wall_max_s,action_count_mean,found_to_clear_mean_s,failed_clear_count_mean,coverage_complete_rate,movement_s_mean,switching_s_mean,measurement_s_mean,optical_s_mean,laser_s_mean
candidate_019_grid10_center_approach,5,1.0,1.0,4793.851395064678,4764.464545841016,4907.919510925919,4917.891377790138,4927.863244654358,4720.883912899242,4876.697000555332,299.6157121915424,297.7790341150635,306.74496943286994,307.3682111118836,307.99145279089737,294.5567780444761,304.79356253470814,8.052600319997874,10.61205908000702,11.136612800008152,190.6,2833.660111878253,3.0,1.0,3691.6513950646777,155.2,858.0,57.0,32.0
candidate_021_grid10_centroid_approach,5,1.0,1.0,4987.739881088458,4895.893628225633,5255.920193375351,5327.771327801169,5399.622462226987,4822.394975521088,5198.130928626446,311.7337425680286,305.99335176410204,328.49501208595944,332.98570798757305,337.4764038891867,301.2690834751148,325.4427292428328,8.691793160006636,10.877665120002348,11.443202700000256,195.2,2896.2843411256745,2.2,1.0,3860.539881088459,155.6,885.0,54.6,32.0
candidate_022_grid10_mec_approach,5,1.0,1.0,4803.731425486296,4817.78367248826,4899.60549845248,4916.417163684228,4933.228828915977,4724.438082344642,4882.793833220732,300.2332140928935,301.11147953051625,306.22534365328,307.2760727302643,308.32680180724856,295.52597268170115,304.87572774908995,7.223512179998215,8.968578879995038,9.400339799991343,185.8,2843.284738179975,0.0,1.0,3719.7314254862954,155.0,849.0,48.0,32.0
candidate_023_grid10_chebyshev_approach,5,1.0,1.0,5099.526920418448,5043.334870304181,5344.615723553587,5426.105002568433,5507.594281583279,4912.7862824087215,5321.89051707164,318.720432526153,315.2084293940113,334.03848272209916,339.13156266052704,344.2246425989549,307.05027506389126,332.57286078312984,9.855366199999116,15.150229039997793,16.873119800002314,202.0,2944.5287678029076,9.8,1.0,3953.926920418448,155.2,881.0,77.4,32.0
candidate_024_grid5_centroid_approach,5,1.0,1.0,4823.58051635824,4814.492879277199,4937.4320876996335,4960.267558607769,4983.103029515905,4725.46999922953,4914.62317560722,301.47378227239,300.90580495482493,308.5895054812271,310.0167224129856,311.4439393447441,295.20326209493635,307.1622885494686,15.66899785999558,18.528976200008763,19.35343320001266,184.4,2835.186768091758,0.0,1.0,3748.580516358241,153.0,842.0,48.0,32.0
