factor,input_multiplier,aggregate_time_per_source_s,change_from_baseline_s_per_source,mean_case_time_s,frozen_trajectory
speed,0.8,304.73987414736,48.73480674271758,3934.191775242418,True
speed,0.9,277.66498151251693,21.6599141078745,3584.6549113265937,True
speed,1.0,256.00506740464243,0.0,3305.025420193934,True
speed,1.1,238.28331949819972,-17.721747906442715,3076.2376547217586,True
speed,1.2,223.51519624283077,-32.489871161811664,2885.5811834949454,True
measure_duration,0.8,246.6216437020863,-9.383423702556144,3183.885420193934,True
measure_duration,0.9,251.31335555336437,-4.691711851278058,3244.455420193934,True
measure_duration,1.0,256.00506740464243,0.0,3305.025420193934,True
measure_duration,1.1,260.69677925592055,4.691711851278114,3365.595420193934,True
measure_duration,1.2,265.3884911071986,9.383423702556172,3426.165420193934,True
switch_duration,0.8,254.28779397319397,-1.7172734314484615,3282.855420193934,True
switch_duration,0.9,255.1464306889182,-0.8586367157242307,3293.940420193934,True
switch_duration,1.0,256.00506740464243,0.0,3305.025420193934,True
switch_duration,1.1,256.8637041203667,0.8586367157242876,3316.1104201939343,True
switch_duration,1.2,257.72234083609095,1.7172734314485183,3327.1954201939343,True
optical_duration,0.8,255.29259645189265,-0.7124709527497828,3295.8274201939344,True
optical_duration,0.9,255.64883192826753,-0.3562354763749056,3300.426420193934,True
optical_duration,1.0,256.00506740464243,0.0,3305.025420193934,True
optical_duration,1.1,256.36130288101737,0.356235476374934,3309.6244201939344,True
optical_duration,1.2,256.71753835739224,0.7124709527498112,3314.223420193934,True
laser_duration,0.8,255.60506740464243,-0.4000000000000057,3299.861420193934,True
laser_duration,0.9,255.80506740464244,-0.19999999999998863,3302.443420193934,True
laser_duration,1.0,256.00506740464243,0.0,3305.025420193934,True
laser_duration,1.1,256.2050674046425,0.20000000000004547,3307.607420193934,True
laser_duration,1.2,256.40506740464247,0.4000000000000341,3310.1894201939344,True
