component,mean_time_s,share_of_total,local_cost_elasticity
movement_s,2516.665420193934,0.7614662824730285,0.7614662824730285
measurement_s,605.7,0.18326636651540743,0.18326636651540743
switching_s,110.85,0.03353983280210156,0.03353983280210156
optical_s,45.99,0.013915172851318455,0.013915172851318455
laser_s,25.82,0.007812345358143999,0.007812345358143999
