strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m,switch_time_s,optical_time_s,successful_clear_time_s,cost_accounting_residual_s,all_cleared_within_6000,post_last_clear_time_s,seen16_time_s,post_seen16_time_s,unseen_measures_after_seen16
adaptive_double_ring_clear_probe,0,16,8,16,1.0,True,413.16466677619,6610.63466841904,4852.634668419043,24263.173342095222,1395.0,279,236,0.8458781362007168,43,0,250,27,27,16,5,5,1870.2090978011715,6175.648170541889,497.1774631633855,6610.63466841904,40,1.0163092669972684,,,,250.0,81.0,32.0,-2.7284841053187847e-12,False,0.0,6175.648170541889,434.9864978771511,0
adaptive_double_ring_clear_probe,1,11,7,11,1.0,True,555.6488112374346,6112.136923611781,4189.13692361178,20945.6846180589,1555.0,311,285,0.9163987138263665,26,0,286,20,20,11,4,4,824.5671659334904,2455.902428737222,518.3447298040112,5704.65633478449,40,0.8415745349921053,,,,286.0,60.0,22.0,9.094947017729282e-13,False,407.4805888272904,,,
adaptive_double_ring_clear_probe,2,16,6,16,1.0,True,289.1063907843922,4625.702252550275,3559.7022525502744,17798.511262751363,800.0,160,124,0.775,36,0,138,32,32,16,1,1,736.079807140239,4114.285213983419,740.9888653117761,4625.702252550275,57,1.436605854993104,,,,138.0,96.0,32.0,9.094947017729282e-13,True,0.0,4114.285213983419,511.4170385668558,0
adaptive_double_ring_clear_probe,3,11,2,11,1.0,True,543.6591521106288,5980.250673216918,4131.250673216917,20656.253366084587,1490.0,298,273,0.9161073825503355,25,0,274,21,21,11,0,0,898.5528369252067,4255.868303058625,506.17613643660604,5790.733798445416,40,0.719881754994276,,,,274.0,63.0,22.0,9.094947017729282e-13,True,189.51687477150153,,,
adaptive_double_ring_clear_probe,4,11,5,11,1.0,True,562.8601713628536,6191.46188499139,4309.4618849913895,21547.30942495694,1525.0,305,279,0.9147540983606557,26,0,281,18,18,11,3,3,795.791997309604,1779.1994597613168,2418.2060485484526,5747.893742573444,182,0.5250431440072134,,,,281.0,54.0,22.0,9.094947017729282e-13,False,443.56814241794655,,,
adaptive_double_ring_clear_probe,5,14,6,14,1.0,True,420.6897181142853,5889.656053599994,4363.656053599992,21818.280267999955,1195.0,239,205,0.8577405857740585,34,0,216,29,29,14,2,2,768.2748742590575,2920.005967168366,668.5936844743516,4801.849672802198,56,0.9648094889998902,,,,216.0,87.0,28.0,1.8189894035458565e-12,True,1087.806380797796,,,
adaptive_double_ring_clear_probe,6,16,6,16,1.0,True,272.35708847981556,4357.713415677049,3287.7134156770485,16438.567078385244,835.0,167,131,0.7844311377245509,36,0,152,17,17,16,4,4,782.9141150423479,3214.5126484588686,670.4775274616673,4357.713415677049,56,0.9256916339945747,,,,152.0,51.0,32.0,9.094947017729282e-13,True,0.0,3214.5126484588686,1143.2007672181803,0
adaptive_double_ring_clear_probe,7,12,7,12,1.0,True,546.4122460864769,6556.946953037723,4604.946953037723,23024.734765188627,1570.0,314,284,0.9044585987261147,30,0,289,23,23,12,3,3,1211.5550444825653,3304.897892792729,888.6593941941611,6556.946953037723,77,0.7629049630049849,,,,289.0,69.0,24.0,0.0,False,0.0,,,
adaptive_double_ring_clear_probe,8,11,6,11,1.0,True,633.2000673136422,6965.200740450064,4772.200740450063,23861.003702250324,1800.0,360,333,0.925,27,0,329,14,14,11,4,4,1455.0242928950152,5843.555251439522,2570.4908763367002,6965.200740450064,208,0.8155981829913799,,,,329.0,42.0,22.0,9.094947017729282e-13,False,0.0,,,
adaptive_double_ring_clear_probe,9,13,8,13,1.0,True,548.4529967380373,7129.888957594485,5132.888957594489,25664.444787972432,1605.0,321,289,0.9003115264797508,32,0,297,23,23,13,3,3,2267.7214165498453,6700.200396259665,912.9946757561606,7129.888957594485,77,0.7172815679950872,,,,297.0,69.0,26.0,-3.637978807091713e-12,False,0.0,,,
