scenario_id,replicate,strategy,radius_mode,error_model,outcome,detected,area_m2,diameter_m,move_distance_m,move_time_s,selection_runtime_s,candidate_count,exact_objective_evaluation_count
0,0,expected_diameter,fixed_1000,uniform,bearing,True,558.6082417557208,43.29694477388306,1092.880188067581,218.5760376135162,3.0953192269953433,285,12400
0,0,geometry,fixed_1000,uniform,bearing,True,539.3220442792789,50.18169372831467,1041.9965691389557,208.39931382779113,0.0114194560010219,265,0
0,0,gdop_mean,fixed_1000,uniform,bearing,True,558.6082417557208,43.29694477388306,1092.880188067581,218.5760376135162,0.35493873500672635,267,0
0,0,fim_e,fixed_1000,uniform,bearing,True,727.3619647586207,84.38058047992035,274.09831130727804,54.819662261455605,0.471402073992067,319,0
0,0,random,fixed_1000,uniform,bearing,True,272.5641221085241,27.31743387108662,630.9444485797246,126.18888971594492,0.0015569129900541157,89,0
0,1,expected_diameter,fixed_1000,uniform,bearing,True,556.5703376338432,43.756630036704934,1092.880188067581,218.5760376135162,3.0953192269953433,285,12400
0,1,geometry,fixed_1000,uniform,bearing,True,532.8216766366096,49.29037056260524,1041.9965691389557,208.39931382779113,0.0114194560010219,265,0
0,1,gdop_mean,fixed_1000,uniform,bearing,True,556.5703376338432,43.756630036704934,1092.880188067581,218.5760376135162,0.35493873500672635,267,0
0,1,fim_e,fixed_1000,uniform,bearing,True,647.514805534514,77.85801861828418,274.09831130727804,54.819662261455605,0.471402073992067,319,0
0,1,random,fixed_1000,uniform,bearing,True,267.1562785452601,26.75875465625154,630.9444485797246,126.18888971594492,0.0015569129900541157,89,0
0,2,expected_diameter,fixed_1000,uniform,bearing,True,559.9122575375227,43.0075816425798,1092.880188067581,218.5760376135162,3.0953192269953433,285,12400
0,2,geometry,fixed_1000,uniform,bearing,True,543.6313983542772,50.79792556054586,1041.9965691389557,208.39931382779113,0.0114194560010219,265,0
0,2,gdop_mean,fixed_1000,uniform,bearing,True,559.9122575375227,43.0075816425798,1092.880188067581,218.5760376135162,0.35493873500672635,267,0
0,2,fim_e,fixed_1000,uniform,bearing,True,788.0263226199389,89.1817624855652,274.09831130727804,54.819662261455605,0.471402073992067,319,0
0,2,random,fixed_1000,uniform,bearing,True,276.301368066127,27.697277535790853,630.9444485797246,126.18888971594492,0.0015569129900541157,89,0
0,3,expected_diameter,fixed_1000,uniform,bearing,True,559.755681680668,43.04201542782897,1092.880188067581,218.5760376135162,3.0953192269953433,285,12400
0,3,geometry,fixed_1000,uniform,bearing,True,543.1099059446218,50.72213705777343,1041.9965691389557,208.39931382779113,0.0114194560010219,265,0
0,3,gdop_mean,fixed_1000,uniform,bearing,True,559.755681680668,43.04201542782897,1092.880188067581,218.5760376135162,0.35493873500672635,267,0
0,3,fim_e,fixed_1000,uniform,bearing,True,780.3085339033593,88.57776894455726,274.09831130727804,54.819662261455605,0.471402073992067,319,0
0,3,random,fixed_1000,uniform,bearing,True,275.8418280995813,27.650832363881676,630.9444485797246,126.18888971594492,0.0015569129900541157,89,0
0,4,expected_diameter,fixed_1000,uniform,bearing,True,557.6090846690306,43.5216566157513,1092.880188067581,218.5760376135162,3.0953192269953433,285,12400
0,4,geometry,fixed_1000,uniform,bearing,True,536.0912052232777,49.73344647423482,1041.9965691389557,208.39931382779113,0.0114194560010219,265,0
0,4,gdop_mean,fixed_1000,uniform,bearing,True,557.6090846690306,43.5216566157513,1092.880188067581,218.5760376135162,0.35493873500672635,267,0
0,4,fim_e,fixed_1000,uniform,bearing,True,686.0952733583078,81.0402953898524,274.09831130727804,54.819662261455605,0.471402073992067,319,0
0,4,random,fixed_1000,uniform,bearing,True,269.8447585900254,27.03788873762392,630.9444485797246,126.18888971594492,0.0015569129900541157,89,0
0,5,expected_diameter,fixed_1000,uniform,bearing,True,556.8767727940963,43.68724282940727,1092.880188067581,218.5760376135162,3.0953192269953433,285,12400
0,5,geometry,fixed_1000,uniform,bearing,True,533.7756064104457,49.41861802262336,1041.9965691389557,208.39931382779113,0.0114194560010219,265,0
0,5,gdop_mean,fixed_1000,uniform,bearing,True,556.8767727940963,43.68724282940727,1092.880188067581,218.5760376135162,0.35493873500672635,267,0
0,5,fim_e,fixed_1000,uniform,bearing,True,658.4636238574692,78.76722713391597,274.09831130727804,54.819662261455605,0.471402073992067,319,0
0,5,random,fixed_1000,uniform,bearing,True,267.93449077525923,26.839844185837606,630.9444485797246,126.18888971594492,0.0015569129900541157,89,0
0,6,expected_diameter,fixed_1000,uniform,bearing,True,558.6779368566869,43.281348931294296,1092.880188067581,218.5760376135162,3.0953192269953433,285,12400
0,6,geometry,fixed_1000,uniform,bearing,True,539.5500492596881,50.21375037005075,1041.9965691389557,208.39931382779113,0.0114194560010219,265,0
0,6,gdop_mean,fixed_1000,uniform,bearing,True,558.6779368566869,43.281348931294296,1092.880188067581,218.5760376135162,0.35493873500672635,267,0
