scenario_id,strategy,s2_x,s2_y,selection_objective,selection_runtime_s,candidate_count,exact_objective_evaluation_count,search_levels
2,expected_diameter,162.5,-587.5,53.97408125546822,3.369397262998973,282,12400,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""exact_candidate_count"": 10, ""best_x"": 200.0, ""best_y"": -550.0, ""best_objective"": 53.996569193282184, ""runtime_s"": 0.8680868339870358}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 140, ""exact_candidate_count"": 10, ""best_x"": 187.5, ""best_y"": -562.5, ""best_objective"": 53.94729233351718, ""runtime_s"": 1.0395799079997232}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 48, ""exact_candidate_count"": 10, ""best_x"": 162.5, ""best_y"": -587.5, ""best_objective"": 53.97408125546822, ""runtime_s"": 0.907630560992402}]"
2,geometry,12.5,-1387.5,0.0012617893524224679,0.01223001501057297,311,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""best_x"": -50.0, ""best_y"": -1300.0, ""best_objective"": 0.0012435994298402029, ""runtime_s"": 0.004127819993300363}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 140, ""best_x"": 37.5, ""best_y"": -1412.5, ""best_objective"": 0.0012562451682699587, ""runtime_s"": 0.0050200730038341135}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""best_x"": 12.5, ""best_y"": -1387.5, ""best_objective"": 0.0012617893524224679, ""runtime_s"": 0.003039136005099863}]"
2,gdop_mean,162.5,-587.5,14.105952390564138,0.4753524789994117,311,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""best_x"": 200.0, ""best_y"": -550.0, ""best_objective"": 14.148983954851378, ""runtime_s"": 0.0973888779990375}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 140, ""best_x"": -62.5, ""best_y"": -1662.5, ""best_objective"": 14.116582550139176, ""runtime_s"": 0.24146180199750233}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 78, ""best_x"": 162.5, ""best_y"": -587.5, ""best_objective"": 14.105952390564138, ""runtime_s"": 0.13645831399480812}]"
2,fim_e,712.5,-887.5,0.008285011153196112,0.44622898499073926,288,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 93, ""best_x"": 700.0, ""best_y"": -800.0, ""best_objective"": 0.00804320038525021, ""runtime_s"": 0.09534835700469557}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""best_x"": 737.5, ""best_y"": -912.5, ""best_objective"": 0.008305361091943329, ""runtime_s"": 0.2665350859897444}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 48, ""best_x"": 712.5, ""best_y"": -887.5, ""best_objective"": 0.008285011153196112, ""runtime_s"": 0.08423353600664996}]"
2,random,-800.0,-1300.0,0.0,0.0015088569925865158,93,0,[]
3,expected_diameter,62.5,1262.5,40.8814267605336,3.3152971190138487,288,12400,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""exact_candidate_count"": 10, ""best_x"": 200.0, ""best_y"": 1200.0, ""best_objective"": 41.84657578613819, ""runtime_s"": 0.9120964369940339}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 147, ""exact_candidate_count"": 10, ""best_x"": 87.5, ""best_y"": 1237.5, ""best_objective"": 40.88097993393635, ""runtime_s"": 1.1045785440073814}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 53, ""exact_candidate_count"": 10, ""best_x"": 62.5, ""best_y"": 1262.5, ""best_objective"": 40.8814267605336, ""runtime_s"": 0.8341276449937141}]"
3,geometry,-137.5,1312.5,0.0016361220241223877,0.010753455004305579,291,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""best_x"": -550.0, ""best_y"": 1450.0, ""best_objective"": 0.0016020024030517915, ""runtime_s"": 0.0035809870023513213}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 127, ""best_x"": -162.5, ""best_y"": 1287.5, ""best_objective"": 0.0016353829739860167, ""runtime_s"": 0.004304646994569339}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 77, ""best_x"": -137.5, ""best_y"": 1312.5, ""best_objective"": 0.0016361220241223877, ""runtime_s"": 0.0028258160018594936}]"
3,gdop_mean,12.5,1262.5,10.657710413534156,0.39399551700626034,282,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""best_x"": -50.0, ""best_y"": 1200.0, ""best_objective"": 10.944580758946602, ""runtime_s"": 0.06727144100295845}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 133, ""best_x"": 37.5, ""best_y"": 1287.5, ""best_objective"": 10.674038019503417, ""runtime_s"": 0.22129842000140343}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 62, ""best_x"": 12.5, ""best_y"": 1262.5, ""best_objective"": 10.657710413534156, ""runtime_s"": 0.10538535700470675}]"
3,fim_e,-637.5,812.5,0.03127457061407088,0.38244792200566735,285,0,"[{""level"": 1, ""step_m"": 250.0, ""candidate_count"": 87, ""best_x"": -300.0, ""best_y"": 950.0, ""best_objective"": 0.0180750067232818, ""runtime_s"": 0.06714423799712677}, {""level"": 2, ""step_m"": 100.0, ""candidate_count"": 132, ""best_x"": -712.5, ""best_y"": 837.5, ""best_objective"": 0.03268970868872874, ""runtime_s"": 0.2048454280011356}, {""level"": 3, ""step_m"": 50.0, ""candidate_count"": 66, ""best_x"": -637.5, ""best_y"": 812.5, ""best_objective"": 0.03127457061407088, ""runtime_s"": 0.11002446799830068}]"
3,random,-1050.0,-550.0,0.0,0.0015400359989143908,87,0,[]
