strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
lattice,0,16,8,16,1.0,True,607.6781399353414,9722.850238965462,6931.850238965466,34659.251194827324,2260.0,452,393,0.8694690265486725,59,0,451,16,16,16,10,10,2071.0,5199.0,7567.787701246896,9722.850238965462,452,0.028416340999683598
lattice,1,11,7,11,1.0,True,967.3217654722358,10640.539420194595,7412.539420194595,37062.69710097297,2645.0,529,491,0.9281663516068053,38,0,528,11,11,11,8,8,1776.6363636363637,4243.0,8962.244679035794,10640.539420194595,529,0.018398416999843903
lattice,2,16,6,16,1.0,True,490.7077726781654,7851.324362850646,5450.324362850645,27251.62181425323,1935.0,387,326,0.8423772609819121,61,0,386,16,16,16,6,6,2034.125,4291.0,6046.0903972869755,7851.324362850646,387,0.02921832100037136
lattice,3,11,2,11,1.0,True,931.903803931359,10250.94184324495,7274.94184324495,36374.709216224735,2435.0,487,441,0.9055441478439425,46,0,486,11,11,11,1,1,1382.6363636363637,4395.0,8736.762152156158,10250.94184324495,487,0.025180961998557905
lattice,4,11,5,11,1.0,True,932.5682284675423,10258.250513142966,7294.250513142969,36471.25256571484,2425.0,485,446,0.9195876288659793,39,0,484,11,11,11,7,7,1159.5454545454545,4075.0,8740.423369636306,10258.250513142966,485,0.01889399599895114
lattice,5,14,6,14,1.0,True,797.4143644406543,11163.80110216916,8046.801102169161,40234.005510845804,2540.0,508,457,0.8996062992125984,51,0,507,14,14,14,7,7,2104.1428571428573,5871.0,8835.866498054436,11163.80110216916,508,0.025376574998517754
lattice,6,16,6,16,1.0,True,691.7045802959856,11067.27328473577,8668.273284735766,43341.36642367883,1935.0,387,329,0.8501291989664083,58,0,384,16,16,16,8,8,1309.625,4979.0,8634.940868110813,11067.27328473577,387,0.06421362300170586
lattice,7,12,7,12,1.0,True,966.8611304253378,11602.333565104054,8225.333565104058,41126.66782552028,2765.0,553,509,0.9204339963833634,44,0,552,12,12,12,8,8,2797.8333333333335,8457.0,9565.337508770235,11602.333565104054,553,0.03207488999760244
lattice,8,11,6,11,1.0,True,1004.5235901281386,11049.759491409524,7779.759491409524,38898.797457047614,2680.0,536,502,0.9365671641791045,34,0,535,11,11,11,5,5,2990.6363636363635,6991.0,9008.136222094194,11049.759491409524,536,0.016228858999966178
lattice,9,13,8,13,1.0,True,785.7806353686805,10215.148259792846,7367.148259792843,36835.74129896423,2320.0,464,423,0.9116379310344828,41,0,463,13,13,13,6,6,1874.5384615384614,4093.0,8668.41706195054,10215.148259792846,464,0.017175911001686472
lattice,10,14,8,14,1.0,True,751.1062760627717,10515.487864878804,7362.4878648788035,36812.43932439403,2570.0,514,459,0.8929961089494164,55,0,513,14,14,14,12,12,1588.5714285714287,4019.0,8969.776606523821,10515.487864878804,514,0.02730191099908552
lattice,11,13,8,13,1.0,True,785.7593430726023,10214.87145994383,7432.871459943827,37164.35729971914,2265.0,453,411,0.9072847682119205,42,0,452,13,13,13,12,12,1250.5384615384614,4123.0,8689.878077669866,10214.87145994383,453,0.018893063999712467
lattice,12,13,10,13,1.0,True,830.7035735218275,10799.146455783757,7861.146455783756,39305.7322789188,2395.0,479,438,0.9144050104384134,41,0,478,13,13,13,10,10,1817.3076923076924,6945.0,8788.156372816202,10799.146455783757,479,0.018698476000281516
lattice,13,12,6,12,1.0,True,892.7165724607411,10712.598869528892,7617.598869528895,38087.994347644475,2530.0,506,465,0.9189723320158103,41,0,505,12,12,12,7,7,1541.0,4177.0,8831.679319528957,10712.598869528892,506,0.019625731998530682
lattice,14,10,6,10,1.0,True,1005.8850728101155,10058.850728101155,6991.850728101156,34959.25364050577,2515.0,503,469,0.9324055666003976,34,0,502,10,10,10,3,3,1509.6,3809.0,8997.708975983778,10058.850728101155,503,0.017721715998050058
lattice,15,11,5,11,1.0,True,1087.1274002835166,11958.401403118683,8552.401403118683,42762.00701559339,2795.0,559,515,0.9212880143112702,44,0,556,11,11,11,8,8,1999.5454545454545,4545.0,9763.552250608383,11958.401403118683,559,0.046529088001989294
lattice,16,12,8,12,1.0,True,887.3963403225945,10648.756083871134,7715.756083871138,38578.78041935569,2395.0,479,438,0.9144050104384134,41,0,478,12,12,12,8,8,1686.6666666666667,5237.0,8649.30906385461,10648.756083871134,479,0.02052372199977981
lattice,17,14,8,14,1.0,True,751.8429511166083,10525.801315632516,7594.801315632515,37974.00657816258,2385.0,477,425,0.8909853249475891,52,0,476,14,14,14,3,3,2261.0,6103.0,8668.381840990522,10525.801315632516,477,0.02481603300111601
lattice,18,11,4,11,1.0,True,989.0439923043891,10879.48391534828,7537.483915348279,37687.4195767414,2740.0,548,509,0.9288321167883211,39,0,547,11,11,11,1,1,2524.4545454545455,6609.0,9107.639290603218,10879.48391534828,548,0.01857668499724241
lattice,19,15,10,15,1.0,True,711.8932536802483,10678.398805203726,7604.398805203722,38021.99402601861,2500.0,500,452,0.904,48,0,499,15,15,15,9,9,3370.3333333333335,7047.0,8829.111768483583,10678.398805203726,500,0.041090927999903215
lattice,20,15,6,15,1.0,True,691.7857327393855,10376.785991090783,7512.78599109078,37563.92995545389,2325.0,465,412,0.886021505376344,53,0,464,15,15,15,9,9,1886.3333333333333,6727.0,8572.703988499918,10376.785991090783,465,0.023026683000352932
lattice,21,11,5,11,1.0,True,956.010734260405,10516.118076864455,7558.118076864455,37790.59038432228,2420.0,484,448,0.9256198347107438,36,0,483,11,11,11,7,7,1183.1818181818182,3833.0,8746.02370336218,10516.118076864455,484,0.016437784001027467
lattice,22,11,2,11,1.0,True,949.0987962272422,10440.086758499665,7338.086758499664,36690.43379249832,2540.0,508,467,0.9192913385826772,41,0,507,11,11,11,2,2,1829.1818181818182,4323.0,8784.826174917738,10440.086758499665,508,0.027862902999913786
lattice,23,16,9,16,1.0,True,602.347155061406,9637.554480982497,6978.554480982499,34892.772404912495,2150.0,430,372,0.8651162790697674,58,0,429,16,16,16,10,10,1457.375,5243.0,7662.162081790951,9637.554480982497,430,0.04194000599818537
lattice,24,15,10,15,1.0,True,721.2216484444742,10818.324726667113,8020.324726667115,40101.62363333557,2270.0,454,398,0.8766519823788547,56,0,453,15,15,15,9,9,2015.9333333333334,4317.0,8554.899403849133,10818.324726667113,454,0.033368181000696495
lattice,25,13,7,13,1.0,True,814.3294236351848,10586.282507257401,7642.282507257398,38211.41253628698,2400.0,480,435,0.90625,45,0,479,13,13,13,7,7,1061.7692307692307,4171.0,8684.703647591627,10586.282507257401,480,0.024316025999723934
lattice,26,15,7,15,1.0,True,776.4462425359865,11646.693638039796,8796.693638039795,43983.468190198975,2315.0,463,412,0.8898488120950324,51,0,460,15,15,15,8,8,1474.0666666666666,3979.0,9213.493034779862,11646.693638039796,463,0.047951190997991944
lattice,27,15,6,15,1.0,True,724.1569207412106,10862.353811118159,8136.353811118159,40681.769055590805,2210.0,442,389,0.8800904977375565,53,0,441,15,15,15,7,7,1669.2666666666667,4473.0,8499.981766752908,10862.353811118159,442,0.0241042550005659
