seed,emitter_count,directional_count,directional_fraction,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s
0,16,8,0.5,6891.614165953992,6651.147646801846,-240.46651915214534
1,11,7,0.6363636363636364,6844.176847247368,6080.888086803785,-763.2887604435828
2,16,6,0.375,6273.531319113034,4658.993780992191,-1614.5375381208432
3,11,2,0.18181818181818182,6121.6386327285545,5920.142616114032,-201.4960166145229
4,11,5,0.45454545454545453,6346.185775723838,6157.711984728991,-188.47379099484624
5,14,6,0.42857142857142855,5832.534236758792,5923.873586529056,91.33934977026456
6,16,6,0.375,4810.14848576996,4400.484260713785,-409.6642250561745
7,12,7,0.5833333333333334,6529.777467828927,6577.946953037723,48.16948520879578
8,11,6,0.5454545454545454,6956.224987617685,6288.556117241751,-667.6688703759337
9,13,8,0.6153846153846154,6811.989504565928,7040.648980666729,228.65947610080093
10,14,8,0.5714285714285714,6392.849176774049,6071.808512001736,-321.040664772313
11,13,8,0.6153846153846154,6799.431500302928,6786.432311677227,-12.999188625701208
12,13,10,0.7692307692307693,7678.75188589412,7264.805169977606,-413.9467159165142
13,12,6,0.5,7786.346227932112,6950.241931200351,-836.1042967317608
14,10,6,0.6,5988.6111733441485,5933.870881984109,-54.74029136003992
15,11,5,0.45454545454545453,6321.908109736347,6318.068745009895,-3.839364726452004
16,12,8,0.6666666666666666,6766.135421766066,6635.433187847029,-130.7022339190371
17,14,8,0.5714285714285714,7374.641688102543,7402.031220921932,27.389532819388478
18,11,4,0.36363636363636365,6615.520279262888,6439.010225334832,-176.51005392805564
19,15,10,0.6666666666666666,6795.771044514464,6667.606395370895,-128.16464914356857
20,15,6,0.4,6271.180303238927,5974.2332612346545,-296.9470420042726
21,11,5,0.45454545454545453,6234.328648296462,6059.068336718394,-175.26031157806847
22,11,2,0.18181818181818182,5820.955582620968,5779.217599821836,-41.737982799131714
23,16,9,0.5625,7012.07914324681,6331.31166486056,-680.7674783862503
24,15,10,0.6666666666666666,6747.9799168863265,6768.949321414264,20.969404527937513
25,13,7,0.5384615384615384,6067.956198809142,6111.841667279542,43.885468470400156
26,15,7,0.4666666666666667,6541.630610255195,5738.776020171759,-802.854590083436
27,15,6,0.4,5908.36153477334,5840.93847097244,-67.42306380090031
28,10,6,0.6,6040.869928466939,5925.68304573085,-115.1868827360895
29,14,7,0.5,7108.160155936209,6853.736290256218,-254.42386567999074
30,14,5,0.35714285714285715,7696.586801412435,6760.632635932176,-935.9541654802597
31,10,5,0.5,6136.249703515361,6142.51784580418,6.2681422888190355
32,10,6,0.6,6831.641846491272,6521.96139521478,-309.680451276492
33,14,6,0.42857142857142855,7578.372619583216,7028.461378146848,-549.9112414363681
34,14,10,0.7142857142857143,6629.305546855254,6693.48145091391,64.17590405865576
35,14,9,0.6428571428571429,7461.6037742122435,7661.666134890726,200.06236067848295
36,12,7,0.5833333333333334,6121.630023702236,6183.418999971323,61.78897626908656
37,15,9,0.6,6477.817468016966,6282.745430201753,-195.07203781521275
38,15,9,0.6,6365.564378891123,6147.229053183931,-218.33532570719217
39,11,4,0.36363636363636365,6391.221922842093,6291.811045545111,-99.41087729698211
40,13,5,0.38461538461538464,6166.8452639960315,6077.926619112356,-88.91864488367537
41,13,9,0.6923076923076923,6139.517273928325,6201.217239255137,61.69996532681216
42,15,6,0.4,6166.81323403382,6053.9044876589005,-112.90874637491925
43,10,8,0.8,7531.174312873017,7611.781424237836,80.6071113648195
44,13,7,0.5384615384615384,6565.002622659576,6592.253499763201,27.25087710362459
45,12,6,0.5,6095.908822024507,6121.160899282009,25.252077257502606
46,10,4,0.4,6408.794546713839,6351.51886930104,-57.27567741279927
47,12,5,0.4166666666666667,6343.836131722636,6152.439484990408,-191.39664673222796
48,14,5,0.35714285714285715,6009.067155383836,5681.883677723808,-327.18347766002717
49,10,6,0.6,6746.248926249366,6660.307627483782,-85.94129876558418
50,13,5,0.38461538461538464,7088.813134245323,6787.192233217398,-301.62090102792536
51,11,4,0.36363636363636365,6971.769763892542,6795.962378878586,-175.80738501395626
52,12,6,0.5,7518.947014783676,7230.056279075287,-288.890735708389
53,14,6,0.42857142857142855,8627.224020457123,7562.198968316985,-1065.0250521401376
54,11,8,0.7272727272727273,7034.664046826083,6660.279499871237,-374.384546954846
55,10,5,0.5,6528.790313437707,6356.367027075903,-172.42328636180355
56,16,10,0.625,7375.109916489254,6578.286837863593,-796.8230786256609
57,10,5,0.5,7268.1664728325495,6918.0039159622875,-350.16255687026205
58,14,10,0.7142857142857143,6552.838785298604,6248.542486984457,-304.29629831414695
59,11,5,0.45454545454545453,6608.962941491707,6631.314566924201,22.351625432494075
60,12,5,0.4166666666666667,6384.141421783968,6478.483451167376,94.34202938340786
61,13,9,0.6923076923076923,6237.630883959526,6019.234086827837,-218.3967971316888
62,14,7,0.5,7215.8755730605435,6663.065082380212,-552.8104906803319
63,13,7,0.5384615384615384,6720.185866191405,6633.775973342011,-86.40989284939405
64,13,5,0.38461538461538464,6205.035769487063,6161.900388632688,-43.13538085437449
65,13,5,0.38461538461538464,6523.583334098319,6610.877131507439,87.29379740912009
66,10,7,0.7,6654.919596542688,6527.168844917741,-127.75075162494704
67,10,6,0.6,7918.260227678532,7281.436939500627,-636.8232881779049
68,15,7,0.4666666666666667,7176.093159749445,6450.054692235401,-726.038467514044
69,15,9,0.6,6175.422784524797,6084.373006418194,-91.0497781066033
70,10,3,0.3,6523.411122887403,6449.810258312065,-73.60086457533725
71,12,5,0.4166666666666667,6872.474958308508,6291.1173860208,-581.3575722877076
72,10,8,0.8,6990.7864946912105,6905.565892916265,-85.22060177494586
73,12,8,0.6666666666666666,7905.1481875848185,7233.60565431157,-671.5425332732484
74,16,7,0.4375,7213.0885691309495,5728.347967212295,-1484.7406019186546
75,13,8,0.6153846153846154,6191.714710704726,6249.546501991093,57.83179128636675
76,12,6,0.5,6454.1455222180275,6390.427156087371,-63.71836613065625
77,16,7,0.4375,5912.434029094087,6422.976829242647,510.54280014855976
78,16,10,0.625,6637.508119917259,5987.909312822046,-649.5988070952135
79,11,3,0.2727272727272727,6397.074571356728,6171.5611772545635,-225.51339410216406
80,12,6,0.5,6431.3257683242155,6009.550117063823,-421.7756512603928
81,14,6,0.42857142857142855,7348.608591908671,6295.948029800911,-1052.6605621077597
82,11,8,0.7272727272727273,7757.115657922039,7330.303579316252,-426.81207860578706
83,13,6,0.46153846153846156,6507.559908496162,6473.400074845771,-34.15983365039119
