group,cases,mean_directional_fraction,mean_delta_s,median_delta_s,p95_delta_s,candidate_faster_rate,candidate_slower_rate,gained_6000_cases,lost_6000_cases
10,15,0.56,-198.80216093150005,-85.94129876558418,28.569833011619096,0.8666666666666667,0.13333333333333333,1,0
11,18,0.4595959595959596,-270.8379643759572,-182.49192246145094,31.922303014619914,0.8888888888888888,0.1111111111111111,1,0
12,14,0.5059523809523809,-212.96858842421923,-97.21030002484667,73.18254485909901,0.6428571428571429,0.35714285714285715,0,0
13,17,0.5475113122171946,-62.89934868534794,-12.999188625701208,115.56693314745615,0.5294117647058824,0.47058823529411764,0,0
14,14,0.5204081632653061,-410.2534089283703,-324.1120712161701,129.39240358814095,0.7142857142857143,0.2857142857142857,1,0
15,11,0.5272727272727272,-278.2196068064058,-195.07203781521275,-23.226829636481398,0.9090909090909091,0.09090909090909091,2,0
16,11,0.5284090909090909,-837.039383928775,-796.8230786256609,135.0381404982072,0.9090909090909091,0.09090909090909091,5,1
